source_node_id,target_node_id,edge_type,graph_variants,state_names,route_fields,functional_class_fields,straight_line_distance_km,osm_path_distance_km,detour_ratio,status,topology_status,failure_reason,source_latitude,source_longitude,target_latitude,target_longitude,plain_english_explanation
4_0265,4_0266,spatial,"spatial, spatial_route, full_refined",Arizona,2_10,1,0.2054639506708389,0.0,0.0,validated,same_osm_edge,ok,33.444190979003906,-112.70018,33.443748474121094,-112.69803,"Both LTPP sections snap to the same OSM road edge, which is the strongest possible local topological support."
55_0214,55_0222,spatial,"spatial, spatial_route, full_refined",Wisconsin,4_29,14,0.2137140628714433,0.0,0.0,validated,same_osm_edge,ok,44.847049713134766,-89.26206,44.84560012817383,-89.26028,"Both LTPP sections snap to the same OSM road edge, which is the strongest possible local topological support."
55_0113,55_0116,spatial,"spatial, spatial_route, full_refined",Wisconsin,4_29,14,0.2145219929652148,0.0,0.0,validated,same_osm_edge,ok,44.88101959228515,-89.31371,44.880470275878906,-89.3111,"Both LTPP sections snap to the same OSM road edge, which is the strongest possible local topological support."
4_0266,4_0267,spatial,"spatial, spatial_route, full_refined",Arizona,2_10,1,0.2216266366987048,0.0,0.0,validated,same_osm_edge,ok,33.443748474121094,-112.69803,33.44321060180664,-112.69573,"Both LTPP sections snap to the same OSM road edge, which is the strongest possible local topological support."
55_0114,55_C901,spatial,"spatial, spatial_route, full_refined",Wisconsin,4_29,14,0.2462293966488743,0.0,0.0,validated,short_connected,ok,44.86518096923828,-89.28677,44.86360168457031,-89.28458,"OSM finds a short, practical drivable connection between the two sections, so the graph edge is physically plausible."
4_B902,4_B903,same_route,"spatial_route, full_refined",Arizona,2_10,1,1.6120196896624617,0.0,0.0,validated,same_osm_edge,ok,33.448490142822266,-112.54518,33.453731536865234,-112.52898,"Both LTPP sections snap to the same OSM road edge, which is the strongest possible local topological support."
39_0203,39_0209,same_route,"spatial_route, full_refined",Ohio,3_23,2,1.0388721571413155,0.020234652465931587,0.01947751927591521,validated,,ok,40.414451599121094,-83.07412,40.40510940551758,-83.07398,"These sections are on a clearly connected route corridor in OSM, so the same-route interpretation is well supported."
55_0121,55_0122,same_route,"spatial_route, full_refined",Wisconsin,4_29,14,0.6134327406046007,0.025300144667745314,0.041243551237270824,validated,,ok,44.874488830566406,-89.29955,44.87826156616211,-89.30523,"These sections are on a clearly connected route corridor in OSM, so the same-route interpretation is well supported."
18_0665,18_0666,same_route,"spatial_route, full_refined",Indiana,3_31,2,0.3049988396310449,0.02774289804011049,0.09096066750178752,validated,,ok,41.201629638671875,-86.25689,41.204200744628906,-86.25816,"These sections are on a clearly connected route corridor in OSM, so the same-route interpretation is well supported."
48_E350,48_E351,same_route,"spatial_route, full_refined",Texas,3_84,2,0.347618590328187,0.035635101889888846,0.10251207179755754,validated,,ok,33.32950973510742,-101.53261,33.332130432128906,-101.53465,"These sections are on a clearly connected route corridor in OSM, so the same-route interpretation is well supported."
39_0106,39_0265,same_functional_class,full_refined,Ohio,3_23,2,0.8608176131565525,0.019218660449500623,0.022326053923327184,validated,,ok,40.40454864501953,-83.07429,40.41228866577149,-83.07409,"Even though this edge was added for similarity, OSM still finds a short drivable connection, so it is both contextually similar and locally plausible."
55_0114,55_C903,same_functional_class,full_refined,Wisconsin,4_29,14,1.159001491453517,0.026060015880366747,0.022484885543749028,validated,,ok,44.86518096923828,-89.28677,44.85770034790039,-89.27653,"Even though this edge was added for similarity, OSM still finds a short drivable connection, so it is both contextually similar and locally plausible."
39_0209,39_0265,same_functional_class,full_refined,Ohio,3_23,2,0.7983516444710057,0.020234652465931587,0.025345538655862872,validated,,ok,40.40510940551758,-83.07398,40.41228866577149,-83.07409,"Even though this edge was added for similarity, OSM still finds a short drivable connection, so it is both contextually similar and locally plausible."
55_0223,55_0266,same_functional_class,full_refined,Wisconsin,4_29,14,1.0411092771450077,0.029439068973530207,0.02827663687164501,validated,,ok,44.84402084350586,-89.25871,44.83517074584961,-89.2544,"Even though this edge was added for similarity, OSM still finds a short drivable connection, so it is both contextually similar and locally plausible."
18_0664,18_0667,same_functional_class,full_refined,Indiana,3_31,2,0.94282624811506,0.02774289804011049,0.029425249981717548,validated,,ok,41.198829650878906,-86.2554,41.2067985534668,-86.25925,"Even though this edge was added for similarity, OSM still finds a short drivable connection, so it is both contextually similar and locally plausible."
